,Isopodichnus,Pilichnus,Gyrochorte,Rhizocorallium,Dimorphichnus,Phycodes,Archaeonassa,Rosselia,Brooksella,Spongeliomorpha,Glockerichnus,Rusophycus,Syringomorpha,Arenicolites,Helminthopsis,Skolithos,Treptichnus,Torrowangea,Diplocraterion,Dictyodora,Climactichnites,Planolites,Zoophycos,Neonereites,Chondrites,Trichophycus,Gyrophyllites,Psammichnites,Taenidium,Monocraterion,Gyrolithes,Multina,Protovirgularia,Nereites,Palaeophycus,Streptichnus,Bergaueria,Thalassinoides,Diplichnites,Biformites,Didymaulichnus,Lockeia,Cruziana,Teichichnus,Nenoxites,Cochlichnus,Conichnus,Oldhamia
Isopodichnus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pilichnus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
Gyrochorte,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhizocorallium,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimorphichnus,0.0,0.0,0.0,0.0,1.0,0.0,0.42857142857142855,0.0,0.0,0.1,0.75,0.031746031746031744,0.0,0.0,0.2727272727272727,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.6666666666666666,0.1,0.2222222222222222,0.0,0.06060606060606061,0.0,0.0,0.6666666666666666,0.0,0.0
Phycodes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0898876404494382,0.0,0.0,0.0,0.0,0.0718954248366013,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0
Archaeonassa,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,1.0,0.25,0.0,0.0,0.5,0.045454545454545456,0.15789473684210525,0.0,0.23076923076923078,0.0,0.022556390977443608,0.0,0.0967741935483871,0.0,0.0,0.031578947368421054,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.1935483870967742,0.0,0.0,0.16666666666666666,0.0,0.46153846153846156,0.0,0.0
Rosselia,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.05263157894736842,0.3,0.0,0.0,0.0,0.024193548387096774,0.0,0.13636363636363635,0.0,0.0,0.03488372093023256,0.0,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Brooksella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spongeliomorpha,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
Glockerichnus,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.24,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0
Rusophycus,0.0,0.0,0.0,0.0,0.031746031746031744,0.0898876404494382,0.045454545454545456,0.05263157894736842,0.0,0.01694915254237288,0.0,1.0,0.09836065573770492,0.0,0.0,0.010752688172043012,0.15286624203821655,0.0,0.0821917808219178,0.0,0.0,0.1171875,0.0,0.0,0.0,0.046153846153846156,0.03508771929824561,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.10476190476190476,0.0,0.09859154929577464,0.0,0.06153846153846154,0.01694915254237288,0.0,0.03278688524590164,0.16666666666666666,0.047619047619047616,0.0,0.0,0.0,0.0
Syringomorpha,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.3,0.0,0.0,0.0,0.09836065573770492,1.0,0.0,0.0,0.0,0.022900763358778626,0.0,0.23076923076923078,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0
Arenicolites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0425531914893617,0.0,0.0,0.0625,0.0,0.0,0.053763440860215055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helminthopsis,0.0,0.045454545454545456,0.0,0.0,0.2727272727272727,0.0,0.23076923076923078,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.08333333333333333
Skolithos,0.0,0.0,0.0,0.02631578947368421,0.022727272727272728,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.010752688172043012,0.0,0.0425531914893617,0.0,1.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.06956521739130435,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.02702702702702703,0.02702702702702703,0.05,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.020833333333333332,0.05263157894736842,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
Treptichnus,0.0,0.0,0.0,0.0,0.0,0.0718954248366013,0.022556390977443608,0.024193548387096774,0.0,0.0,0.0,0.15286624203821655,0.022900763358778626,0.0,0.0,0.0,1.0,0.0,0.02097902097902098,0.0,0.0,0.05,0.0,0.048,0.0,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.04838709677419355,0.03821656050955414,0.07647058823529412,0.008064516129032258,0.050724637681159424,0.0,0.0,0.0,0.0,0.0,0.06338028169014084,0.047244094488188976,0.0,0.0,0.0,0.049689440993788817
Torrowangea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diplocraterion,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.13636363636363635,0.3181818181818182,0.0,0.0,0.0821917808219178,0.23076923076923078,0.0625,0.0,0.07272727272727272,0.02097902097902098,0.0,1.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.12962962962962962,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0
Dictyodora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Climactichnites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planolites,0.0,0.0,0.011627906976744186,0.011494252873563218,0.010752688172043012,0.016129032258064516,0.031578947368421054,0.03488372093023256,0.0,0.022988505747126436,0.0,0.1171875,0.03225806451612903,0.053763440860215055,0.0,0.06956521739130435,0.05,0.0,0.02857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.031914893617021274,0.023255813953488372,0.05434782608695652,0.0,0.0,0.03409090909090909,0.0,0.0,0.016260162601626018,0.1693548387096774,0.0,0.16304347826086957,0.0,0.010309278350515464,0.022988505747126436,0.0,0.022222222222222223,0.008928571428571428,0.05555555555555555,0.0,0.010869565217391304,0.0,0.0
Zoophycos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neonereites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565
Chondrites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trichophycus,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2727272727272727,0.0,0.0,0.0,0.046153846153846156,0.16666666666666666,0.0,0.0,0.043478260869565216,0.046511627906976744,0.0,0.1,0.0,0.0,0.031914893617021274,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
Gyrophyllites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Psammichnites,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2727272727272727,0.0,0.0,0.0,0.07936507936507936,0.16666666666666666,0.0,0.0,0.0,0.046511627906976744,0.0,0.1,0.09090909090909091,0.0,0.05434782608695652,0.0,0.0,0.0,0.375,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
Taenidium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monocraterion,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gyrolithes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
Multina,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608
Protovirgularia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15384615384615385,0.1016949152542373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
Nereites,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.1794871794871795,0.07692307692307693,0.0,0.010526315789473684,0.0,0.0,0.0,0.02702702702702703,0.03821656050955414,0.0,0.12962962962962962,0.0,0.0,0.016260162601626018,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,1.0,0.06521739130434782,0.0,0.0,0.0,0.02,0.07692307692307693,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.18309859154929578
Palaeophycus,0.0,0.0,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.10476190476190476,0.045454545454545456,0.07575757575757576,0.0,0.0,0.07647058823529412,0.0,0.038461538461538464,0.0,0.0,0.1693548387096774,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016949152542373,0.06521739130434782,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.024390243902439025,0.06557377049180328,0.0,0.0,0.0,0.015384615384615385,0.0,0.061224489795918366
Streptichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bergaueria,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.09859154929577464,0.0,0.0,0.0,0.0,0.050724637681159424,0.047619047619047616,0.0,0.0,0.0,0.16304347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,1.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.037037037037037035,0.23809523809523808,0.0
Thalassinoides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diplichnites,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.07142857142857142,0.5,0.06153846153846154,0.0,0.0,0.23076923076923078,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.1935483870967742,0.0,0.11428571428571428,0.0,0.0,0.46153846153846156,0.0,0.0
Biformites,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
Didymaulichnus,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1935483870967742,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.022222222222222223,0.0,0.1935483870967742,0.0,1.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0
Lockeia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cruziana,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.16666666666666666,0.0,0.0,0.0,0.06666666666666667,0.06338028169014084,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,0.11428571428571428,0.034482758620689655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Teichichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.047619047619047616,0.1875,0.0,0.0,0.0,0.047244094488188976,0.0,0.10714285714285714,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nenoxites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cochlichnus,0.0,0.0,0.0,0.0,0.6666666666666666,0.021739130434782608,0.46153846153846156,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.037037037037037035,0.0,0.46153846153846156,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Conichnus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Oldhamia,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.049689440993788817,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.13333333333333333,0.18309859154929578,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
