,Isopodichnus,Siphonichnus,Gyrochorte,Mammillichnis,Rhizocorallium,Camborygma,Phycodes,Rosselia,Laevicyclus,Lophoctenium,Brooksella,Spongeliomorpha,Glockerichnus,Cosmorhaphe,Rusophycus,Altichnus,Heimdallia,Scolicia,Parahaentzschelinia,Spirophyton,Megagrapton,Lennea,Trichichnus,Protopaleodictyon,Arenicolites,Helminthopsis,Skolithos,Piscichnus,Bifungites,Naktodemasis,Vagorichnus,Diplocraterion,Dictyodora,Balanoglossites,Cylindrichnus,Osculichnus,Phycosiphon,Furnasichnus,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Didymaulyponomos,Psammichnites,Ophiomorpha,Taenidium,Monocraterion,Gyrolithes,Multina,Scalarituba,Protovirgularia,Dendrotichnium,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Paleodictyon,Bergaueria,Hormosiroidea,Asterosoma,Chagrinichnites,Polarichnus,Arthrophycus,Entradichnus,Thalassinoides,Psilonichnus,Hillichnus,Phymatoderma,Diplichnites,Daedalus,Didymaulichnus,Lockeia,Scoyenia,Dolopichnus,Cruziana,Ilmenichnus,Teichichnus,Scalichnus,Margaritichnus,Arenituba,Cochlichnus,Oldhamia
Aglaspidichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcyonidiopsis,,,,,57.0,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alectorurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altichnus,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,27.0,,,,,16.0,,,,,,,,,29.0,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanitichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancorichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachnostega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archaeonassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenicolites,,,,,15.857142857142858,,20.2,72.0,,,,,,,20.8,,20.0,,,,,,,,0.0,,24.2,,8.75,,,7.625,,3.0,4.888888888888889,,,48.5,10.714285714285714,,34.0,,5.666666666666667,33.5,47.5,,280.0,60.0,,,,,,,,,9.666666666666666,,,,,,182.0,3.6666666666666665,,21.428571428571427,,,,40.0,,4.8,27.75,,,1.75,,,,92.0,,,
Arenituba,,,,,,,,,,,,,,,17.0,,,,,,,,,,,17.0,19.4,,,,,6.8,,,,,62.5,,14.6,,53.0,,15.5,,,,,,,,,,,,58.0,,11.8,,,,,,,,,,,,,,,,10.0,,,4.8,,21.6,,,0.0,2.2,
Arthrophycus,,,,,23.0,,,140.5,,,,,,,54.0,,48.5,,,,,,,,3.6666666666666665,,9.5,,138.0,,,84.5,,,30.25,,,76.0,102.0,,,,7.25,35.0,116.0,,69.5,87.5,,,,,,,,,18.0,,,,,,,0.0,,189.5,,,,,,12.5,41.5,,,18.5,,,,,,,
Artichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astacimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterosoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,6.0,,11.0,,6.0,,,,,18.0,,,,,,,36.0,,14.0,,,,0.0,,,,,,,,,,,,,,,63.0,,13.5,,,,,
Asthenopodichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astropolichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atollites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attaichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augerinoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avetoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanoglossites,,,,,16.0,,17.2,,,,,41.0,,,22.4,,,,,,,,,,3.0,,24.8,,,,,8.8,,0.0,5.8,,,,12.0,,31.0,,3.4,,,,,,,,,,,21.0,,,14.4,,,,,,,,,27.0,,,,,,,,,,,,,,,,,
Bathichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,
Belorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergaueria,,,,,,,194.0,,,,,,,37.0,240.0,,,,,,,,,204.0,,106.0,252.0,,,,,,,,,,,,,,,153.0,12.0,,,,263.0,,,,,223.0,60.0,,,,166.0,180.0,0.0,121.0,,,,,,,,,,,,76.0,,,,50.0,,,,,,24.0,
Bichordites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biformites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifungites,,,,,,,,,,,,,,,30.0,,,,,,,,,,8.75,,157.0,,0.0,,,,,,77.5,,,62.0,36.0,,,,6.0,,,,,50.5,,,,,,,,,129.5,,,,,,,138.0,,,,,,,,70.0,55.0,,,82.5,,,,,,,
Bolonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bornichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooksella,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calceoformites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camborygma,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capodistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardioichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catenichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chagrinichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
Chondrites,,,,,11.733333333333333,,0.7142857142857143,109.0,,22.0,,10.0,50.0,25.0,10.692307692307692,,,23.0,,,13.0,,,64.0,5.666666666666667,18.8,0.5263157894736842,,6.0,,,25.272727272727273,,3.4,1.7142857142857142,,15.25,68.0,1.2,37.0,1.0434782608695652,47.0,0.0,,,,251.0,56.5,,6.75,,211.0,48.0,,8.0,,0.39285714285714285,56.0,12.0,109.0,6.0,,,7.25,,10.727272727272727,,,2.0,,,21.333333333333332,61.0,,30.5,9.714285714285714,,2.142857142857143,,,15.5,19.666666666666668,
Circulichnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climactichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlichnus,,,,,,,170.0,,,13.0,,,15.0,13.0,12.333333333333334,,,58.0,,,28.0,,,180.0,,82.0,14.333333333333334,,,,,4.6,,,,,51.0,,1.8333333333333333,,47.0,129.0,19.666666666666668,,,,239.0,,,,,199.0,36.0,,38.0,,8.0,156.0,24.0,97.0,,,,,,68.0,,,,,,52.0,7.8,,,2.1666666666666665,,19.4,,,2.2,0.0,
Compaginatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conostichus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprinisphaera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornulatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmorhaphe,,,9.0,19.0,44.666666666666664,,27.75,,,,,,,0.0,203.0,,,,,,24.0,,,167.0,,69.0,215.0,,,,,,,,,,40.333333333333336,,28.333333333333332,,,116.0,25.0,,,,226.0,,,,,186.0,23.0,,,,24.25,143.0,37.0,84.0,,,,,,,,,,,,39.0,,,,13.0,,,,,,13.0,
Cruziana,,,,,33.0,,39.0,189.0,,,,,,13.0,12.933333333333334,,97.0,,,,,,,154.0,1.75,56.0,1.064516129032258,,82.5,,,5.875,,,6.833333333333333,,,20.5,2.7142857142857144,,1.4444444444444444,103.0,9.714285714285714,83.5,164.5,,88.66666666666667,32.0,28.0,,,10.8,10.0,,14.5,,1.5,130.0,50.0,71.0,63.0,,168.0,18.5,,238.0,81.0,,73.0,1.6666666666666667,85.0,1.6666666666666667,3.6363636363636362,18.5,,0.0,,13.454545454545455,,78.0,4.8,2.1666666666666665,
Ctenopholeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curvolithus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrichnus,,,,,9.571428571428571,,11.4,65.0,,,,,,,9.222222222222221,,27.0,,,,,,,,4.888888888888889,,4.636363636363637,,77.5,,,2.142857142857143,,5.8,0.0,,,15.5,4.428571428571429,,25.2,,1.7142857142857142,40.5,40.5,,,27.0,7.5,,,,,,,,4.777777777777778,,,,,,,30.25,,15.142857142857142,,,,,,3.75,11.25,,,6.833333333333333,,15.0,,,,,
Cylindricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyloidites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,85.0,,,,,,,
Daimonelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimoniobarax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrotichnium,,,,,,,134.0,,,,,,,23.0,180.0,,,,,,,,,144.0,,46.0,192.0,,,,,,,,,,,,,,,93.0,48.0,,,,203.0,,,,,163.0,0.0,,,,106.0,120.0,60.0,61.0,,,,,,,,,,,,16.0,,,,10.0,,,,,,36.0,
Desmograpton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,5.333333333333333,,,,,,,,,,,,,,1.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didymaulichnus,,,,,147.5,,118.0,30.0,,,,,,39.0,30.666666666666668,,122.0,,,,,,,128.0,4.8,30.0,36.333333333333336,,70.0,,,12.333333333333334,,,3.75,,,8.0,34.0,,,77.0,21.333333333333332,135.5,54.5,,64.0,19.5,,,,147.0,16.0,,,,4.714285714285714,104.0,76.0,45.0,,,158.0,12.5,,19.0,,,,16.0,,0.0,7.5,,,1.6666666666666667,,,,68.0,,52.0,
Didymaulyponomos,,,,,12.0,,,105.5,,,,,,,67.5,,13.5,,,,,,,,33.5,,147.0,,,,,49.5,,,40.5,,,,,,,,,0.0,81.0,,,,,,,,,,,,123.5,,,,,,,35.0,,154.5,,,,,,135.5,69.5,,,83.5,,,,,,,
Dimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplichnites,,,,,,,,,,,,,,,84.0,,,,,,,,,,40.0,,202.0,,,22.0,,21.0,,,,,,,5.6,,,,,,,,120.0,,,,,11.0,,,,15.0,3.5,,,,,,142.0,,,,,,,0.0,,16.0,11.0,,,1.6666666666666667,,,,52.0,,,
Diplocraterion,,,,,34.92307692307692,,2.6363636363636362,56.0,,,,,,,8.166666666666666,16.0,36.0,,,,,,,,7.625,,0.47619047619047616,,,,,0.0,,8.8,2.142857142857143,,,,3.25,,49.916666666666664,,25.272727272727273,49.5,31.5,,219.0,,,,,,,,,,1.3888888888888888,,,,,,121.0,84.5,,8.375,,,,21.0,,12.333333333333334,2.2857142857142856,,,5.875,,9.166666666666666,,31.0,6.8,4.6,
Dolopichnus,,,,,66.5,,,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,,30.5,,,,,,,10.5,,,,,17.0,,36.0,,,,,,,,,,,,57.5,,,,,,0.0,,,,,,,,
Dreginozoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinospira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edaphichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellipsoideichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entradichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
Ereipichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estrellichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fictovichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fontanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fucusopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuersichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furculosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furnasichnus,,,,,,,,,,,,,,,32.0,,,,,,,,,,48.5,,95.0,,62.0,,,,,,15.5,,,0.0,26.0,,,,68.0,,,,,11.5,,,,,,,,,67.5,,,,,,,76.0,,,,,,,,8.0,7.0,,,20.5,,,,,,,
Glockerichnus,,,,,,,,,,28.0,,,0.0,,,,,73.0,,,13.0,,,,,,,,,,,,,,,,36.0,,,,62.0,,50.0,,,,,,,,,,,,23.0,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,15.0,
Gyrochorte,,,0.0,10.0,35.666666666666664,,28.0,,,,,,,9.0,,,,,,,15.0,,,,,,,,,,,,,,,,31.333333333333332,,19.333333333333332,,,,,,,,,,,,,,,,,,23.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrolithes,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,7.5,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,7.5,,,,,
Gyrophyllites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haentzschelinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halimedides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halopoa,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,,,,,,,,,,0.0,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartsellea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heimdallia,,,,,25.5,,,92.0,,,,,,,81.0,,0.0,,,,,,,,20.0,,133.5,,,,,36.0,,,27.0,,,,,,,,,13.5,67.5,,,,,,,,,,,,110.0,,,,,,,48.5,,141.0,,,,,,122.0,56.0,,,97.0,,,,,,,
Helicodromites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helicolithus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helminthopsis,,,,,,,29.333333333333332,,,,,,,69.0,134.0,,,,,,13.5,,,32.666666666666664,,0.0,146.0,,,,,,,,,,79.5,,79.0,25.5,70.0,15.666666666666666,18.8,,,,157.0,,,,,117.0,46.0,,37.5,,20.0,24.666666666666668,106.0,15.0,,,,,,109.5,,,,,,30.0,,,,56.0,,,,,17.0,82.0,
Helminthorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillichnus,,108.0,,,,,,,176.0,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,50.0,,,,
Hormosiroidea,,,,,,,73.0,,,,,,,84.0,119.0,,,,,,,,,83.0,,15.0,131.0,,,,,,,,,,,,,,,32.0,109.0,,,,142.0,,,,,102.0,61.0,,,,45.0,59.0,121.0,0.0,,,,,,,,,,,,45.0,,,,71.0,,,,,,97.0,
Hydrancylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilmenichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.0,,,,,,
Imponoglyphus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isopodichnus,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamesonichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katarrhedrites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katbergia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilorites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kladosystemites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulindrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labyrintichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laevicyclus,,68.0,,,,,47.0,,0.0,8.5,,,,,,,,,29.0,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,30.5,,,,,,,,,,,,,176.0,,,,,,,,,,,126.0,,,,
Lanicoidichna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapispira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennea,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
