,Siphonichnus,Rhizocorallium,Halimedides,Rebuffoichnus,Saronichnus,Phycodes,Fictovichnus,Katbergia,Rosselia,Bichordites,Lorenzinia,Laevicyclus,Spongeliomorpha,Cosmorhaphe,Rusophycus,Spirorhaphe,Scolicia,Cardioichnus,Trichichnus,Protopaleodictyon,Coprinisphaera,Arenicolites,Helminthopsis,Tasselia,Dactyloidites,Skolithos,Desmograpton,Spirophycus,Treptichnus,Lanicoidichna,Piscichnus,Helicodromites,Macanopsis,Kulindrichnus,Daimonelix,Naktodemasis,Haentzschelinia,Vagorichnus,Castrichnus,Diplocraterion,Balanoglossites,Cylindrichnus,Phycosiphon,Attaichnus,Polychoredrites,Planolites,Halopoa,Zoophycos,Neonereites,Chondrites,Bathichnus,Gyrophyllites,Parowanichnus,Ophiomorpha,Taenidium,Gyrolithes,Daimoniobarax,Kladosystemites,Multina,Teisseirei,Scalarituba,Protovirgularia,Alcyonidiopsis,Nereites,Beaconites,Palaeophycus,Schaubcylindrichnus,Paleodictyon,Paradictyodora,Phoebichnus,Asterosoma,Macaronichnus,Patagonichnus,Katarrhedrites,Thalassinoides,Psilonichnus,Phymatoderma,Helminthorhaphe,Arachnostega,Spirodesmos,Didymaulichnus,Lockeia,Scoyenia,Cruziana,Labyrintichnus,Sinusichnus,Teichichnus,Scalichnus,Cochlichnus,Conichnus,Oldhamia,Polykladichnus
Aglaspidichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcyonidiopsis,181.0,,,,,,,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,66.0,,51.0,109.0,,,122.0,,239.0,,28.0,,,,82.0,,,,,,,,,0.0,,,95.0,150.0,,,,16.0,,,,219.0,,,,,,,,,,,,206.0,,,40.0,,
Alectorurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanitichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancorichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arachnostega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Archaeonassa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenicolites,,46.0,,,,,,158.0,4.25,21.2,82.6,28.833333333333332,,,,,22.3,,,,,0.0,29.2,,,1.9090909090909092,70.8,,,198.0,45.666666666666664,,,,,,,,,50.0,,13.0,16.333333333333332,,,3.4166666666666665,,,,4.333333333333333,,,,3.6,24.0,4.666666666666667,,,,,,,,85.2,18.0,1.2727272727272727,,89.8,,,,,,,11.833333333333334,39.0,,76.6,,,77.0,222.0,,41.0,,,4.0,,,58.0,,65.83333333333333
Arenituba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astacimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterosoma,165.0,,,,,,,,21.0,,,,,,,,18.0,,,,,,,,,,,,,,,92.0,,,,,,,,14.666666666666666,,19.0,30.666666666666668,,,26.0,,34.333333333333336,,19.75,,,,66.0,,9.333333333333334,,,,,,,16.0,,,79.0,134.0,,,,0.0,,97.0,,5.333333333333333,,,,,,,,,,,,22.333333333333332,,,24.0,,
Asthenopodichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astropolichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atollites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attaichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augerinoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avetoichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanoglossites,113.0,85.0,,,,,,,93.0,,,,125.5,,,,108.0,,,,,,,,,120.0,,,,,,30.0,,,,,,,,,0.0,,64.0,,,70.5,,,,8.5,,,,50.5,134.0,24.0,,,,,,76.5,,45.5,,57.0,,,,,,38.0,,,148.0,,,,,,,,,,,,,,,,,
Bathichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconites,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,14.333333333333334,,,,,,,,,,,,,,,21.0,,,,,13.0,,,,,,,,,,0.0,,,,,,,,,4.5,,60.0,,,,,,,,,,,,,,,,
Belorhaphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergaueria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bichordites,,,,,,4.5,,,6.0,0.0,61.4,58.8,,,,,1.625,2.1666666666666665,,,,21.2,8.0,,2.5,,49.6,,,,,,,,,,,,,,,,71.4,,,16.4,,,,2.6,,,,11.0,,,,,,,,,,64.0,,13.6,,68.6,,,,8.0,,,18.8,,,55.4,,,,,,11.833333333333334,,,6.166666666666667,,,,,18.4
Biformites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifungites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bornichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooksella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calceoformites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camborygma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capodistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardioichnus,,,,,,2.3333333333333335,,,,2.1666666666666665,,,,,,,,0.0,,,,,,,4.666666666666667,,,,,,,,,,,,,,,,,,,,,12.0,,,93.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,,,,14.0,,,4.0,,,,,
Castrichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catenichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chagrinichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chondrites,69.66666666666667,9.0,,,,,,,32.333333333333336,2.6,16.666666666666668,56.2,117.0,38.0,,,2.8666666666666667,,,,,4.333333333333333,9.166666666666666,,,55.75,47.0,,,,,8.666666666666666,,,,,,,,11.666666666666666,8.5,32.666666666666664,1.7058823529411764,,,0.5769230769230769,,0.4230769230769231,,0.0,,,,18.642857142857142,26.363636363636363,12.166666666666666,,,,,,68.0,28.0,24.555555555555557,21.0,3.7857142857142856,122.0,66.0,,,19.75,29.5,,,4.178571428571429,39.0,,12.333333333333334,,,,,,48.0,,,2.857142857142857,,,12.0,,21.0
Circulichnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cladichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climactichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Compaginatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conichnus,141.0,,,,,,,100.0,,,,115.0,,,,,131.0,,,,,58.0,,,,36.63636363636363,,,,140.0,,,,,,,,,,21.0,,11.0,69.0,,,77.75,,199.0,,12.0,,,,16.307692307692307,,84.0,,,,,,,40.0,,,124.0,110.0,,,,24.0,2.5,,,179.0,365.0,,,,,19.0,164.0,,,,,219.0,,,0.0,,337.0
Conostichus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coprinisphaera,,,,,,,27.0,,,,,,,,,,,,,,0.0,,,,,53.0,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,
Cornulatichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmorhaphe,,,,,,,,,,,62.0,,,0.0,,2.5714285714285716,5.285714285714286,,,,,,17.0,,,,,,,,,,,,,,,,,,,,140.0,,,162.0,2.857142857142857,,,38.0,,,,120.0,,,,,,,,,,11.375,,,,7.857142857142857,,,,,,,,,,36.0,,,,,,,,,,,,,,
Cruziana,,,,,,16.333333333333332,,,91.0,11.833333333333334,,,,,,,39.666666666666664,14.0,,,,41.0,,,7.916666666666667,1.7333333333333334,,,,,,,,,,,,,,,,82.0,23.0,,,23.333333333333332,,3.6666666666666665,,48.0,,,,83.75,9.25,40.0,,,,,,93.0,,,,,15.0,,,,,50.0,,,13.25,,,,,,,,,0.0,,,12.0,,,,,
Ctenopholeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curvolithus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cylindrichnus,6.5,59.0,,,,,,,1.5,,,,,,,,120.0,,,,,13.0,,,,1.5555555555555556,,,,,,54.0,,,,,,,,34.0,,0.0,56.5,,,4.7272727272727275,,188.0,,32.666666666666664,,,,19.125,22.5,24.428571428571427,,,,,,,51.0,,,6.666666666666667,99.0,,,,19.0,,,,56.0,4.666666666666667,,,,,,,,82.0,,,12.875,,,11.0,,
Cylindricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactyloidites,,,,,,7.0,,,202.0,2.5,,,,,,,,4.666666666666667,,,,,,,0.0,18.0,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,,180.0,,,,,1.1666666666666667,,,21.571428571428573,,,,,,,,,7.916666666666667,,,8.666666666666666,,,,,
Dactylophycus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daedalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daimonelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.333333333333334,,,,,,,,,23.333333333333332,,,,,,,,,,,,,,,,,,
Daimoniobarax,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,15.0,,,,,,,,,,,,30.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendrotichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmograpton,,,,,,,,,,49.6,11.8,9.2,,,,,64.0,,,,,70.8,41.6,,,,0.0,,,,,,,,,,,,,,,,21.8,,,33.2,,,,47.0,,,,38.6,,,,,,,,,,14.4,,36.0,,19.0,,,,,,,30.8,,,5.8,,,,,,,,,,,,,,68.0
Dictyodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didymaulichnus,,,,,,,,81.0,,,,96.0,,,,,,,,,,77.0,,,,384.0,,,,121.0,,,,,,,,,,23.0,,,,,,292.0,,,,,,,,193.0,,65.0,,,,,,,,,,229.0,,,,,,,,,,346.0,,,,,0.0,145.0,,,,,419.0,,,19.0,,318.0
Didymaulyponomos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimorphichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplichnites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplocraterion,115.0,50.0,,,,,,58.0,59.0,,,73.0,,,,,3.3333333333333335,,,,,50.0,,,,180.5,,,,98.0,,,,,,,,,,0.0,,34.0,16.0,,,53.8,,19.666666666666668,,11.666666666666666,,,,15.454545454545455,,14.0,,,,,,,66.0,,,68.66666666666667,84.0,,,,14.666666666666666,,,,25.0,323.0,,,,,23.0,122.0,,,,,79.2,,,21.0,,295.0
Dolopichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreginozoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinospira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edaphichnium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellipsoideichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entradichnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
